Year,Patient County Code,Patient County Name,Rural/Urban,Payer,ER Opioid,ER Visits ,ER Rate Per 1000 ,Inpatient ER Opioid,Inpatient ER Discharges,Inpatient ER Rate Per 1000,Inpatient Non ER Opioid,Inpatient Non ER Discharges,Inpatient Non ER Rate Per 1000 ,Inpatient Total Opioid,Inpatient Total Discharges,Inpatient Total Rate Per 1000 ,ER Inpatient Total Opioid,ER Inpatient Total Discharges ,ER Inpatient Total Rate Per 1000,Opioid Ambulatory Surgery Visits,Ambulatory Surgery Visits,Ambulatory Surgery Rate Per 1000,Outpatient Opioid,Outpatient Visits,Outpatient Rate Per 1000,Other Outpatient Total Opioid, Other Outpatient Total Discharges,Other Outpatient Total Rate Per 1000,Overall Opioid,Overall Discharges,Overall Rate Per 1000
2010,4,Cattaraugus,Rural,Commercial,4,13291,0.301,4,1260,3.175,1,2224,0.45,5,3484,1.435,9,16775,0.537,0,5770,0,0,109,0,0,5879,0,9,22654,0.397
2010,4,Cattaraugus,Rural,Medicaid,3,8529,0.352,6,853,7.034,1,1321,0.757,7,2174,3.22,10,10703,0.934,0,1361,0,0,33,0,0,1394,0,10,12097,0.827
2010,4,Cattaraugus,Rural,Medicare,0,5363,0,6,3223,1.862,0,1662,0,6,4885,1.228,6,10248,0.585,0,3635,0,0,55,0,0,3690,0,6,13938,0.43
2010,4,Cattaraugus,Rural,Other,0,1501,0,0,148,0,0,159,0,0,307,0,0,1808,0,0,323,0,0,7,0,0,330,0,0,2138,0
2010,5,Cayuga,Rural,Commercial,6,8085,0.742,1,882,1.134,1,1518,0.659,2,2400,0.833,8,10485,0.763,0,5018,0,0,1356,0,0,6374,0,8,16859,0.475
2011,5,Cayuga,Rural,Commercial,8,10015,0.799,8,931,8.593,2,2020,0.99,10,2951,3.389,18,12966,1.388,0,5810,0,3,15260,0.197,3,21070,0.142,21,34036,0.617
2010,5,Cayuga,Rural,Medicaid,5,5728,0.873,4,656,6.098,0,985,0,4,1641,2.438,9,7369,1.221,0,909,0,0,640,0,0,1549,0,9,8918,1.009
2013,5,Cayuga,Rural,Medicaid,6,5758,1.042,2,465,4.301,5,845,5.917,7,1310,5.344,13,7068,1.839,0,1096,0,0,4665,0,0,5761,0,13,12829,1.013
2010,5,Cayuga,Rural,Medicare,0,3710,0,1,2414,0.414,3,1271,2.36,4,3685,1.085,4,7395,0.541,0,2689,0,0,1086,0,0,3775,0,4,11170,0.358
2011,5,Cayuga,Rural,Medicare,3,4686,0.64,4,2356,1.698,3,2034,1.475,7,4390,1.595,10,9076,1.102,0,3140,0,3,7141,0.42,3,10281,0.292,13,19357,0.672
2010,5,Cayuga,Rural,Other,0,1076,0,0,159,0,0,145,0,0,304,0,0,1380,0,0,359,0,0,124,0,0,483,0,0,1863,0
2011,5,Cayuga,Rural,Other,1,1622,0.617,2,118,16.949,0,163,0,2,281,7.117,3,1903,1.576,0,386,0,1,1701,0.588,1,2087,0.479,4,3990,1.003
2012,5,Cayuga,Rural,Other,1,1167,0.857,1,174,5.747,1,165,6.061,2,339,5.9,3,1506,1.992,0,360,0,0,1498,0,0,1858,0,3,3364,0.892
2013,5,Cayuga,Rural,Other,0,1146,0,0,146,0,1,129,7.752,1,275,3.636,1,1421,0.704,0,463,0,0,1523,0,0,1986,0,1,3407,0.294
2010,6,Chautauqua,Rural,Medicaid,5,15027,0.333,5,1366,3.66,1,1815,0.551,6,3181,1.886,11,18208,0.604,0,2117,0,0,2,0,0,2119,0,11,20327,0.541
2010,6,Chautauqua,Rural,Medicare,4,8774,0.456,2,3677,0.544,0,1357,0,2,5034,0.397,6,13808,0.435,0,4990,0,0,4,0,0,4994,0,6,18802,0.319
2010,6,Chautauqua,Rural,Other,0,1446,0,1,119,8.403,0,140,0,1,259,3.861,1,1705,0.587,0,292,0,0,0,0,0,292,0,1,1997,0.501
2010,7,Chemung,Urban,Commercial,2,15008,0.133,4,1510,2.649,1,1901,0.526,5,3411,1.466,7,18419,0.38,0,4869,0,0,34,0,0,4903,0,7,23322,0.3
2011,7,Chemung,Urban,Commercial,2,20412,0.098,7,1483,4.72,0,1933,0,7,3416,2.049,9,23828,0.378,0,5784,0,0,16423,0,0,22207,0,9,46035,0.196
2012,7,Chemung,Urban,Commercial,6,22447,0.267,15,1588,9.446,2,2100,0.952,17,3688,4.61,23,26135,0.88,0,5513,0,0,15694,0,0,21207,0,23,47342,0.486
2010,7,Chemung,Urban,Medicaid,7,10601,0.66,14,1423,9.838,0,1682,0,14,3105,4.509,21,13706,1.532,0,1025,0,0,43,0,0,1068,0,21,14774,1.421
2011,7,Chemung,Urban,Medicaid,8,14776,0.541,10,1322,7.564,0,1621,0,10,2943,3.398,18,17719,1.016,0,1238,0,0,7047,0,0,8285,0,18,26004,0.692
2012,7,Chemung,Urban,Medicaid,5,12534,0.399,9,1143,7.874,0,1486,0,9,2629,3.423,14,15163,0.923,0,1072,0,0,5780,0,0,6852,0,14,22015,0.636
2010,7,Chemung,Urban,Medicare,0,5779,0,5,4627,1.081,3,1568,1.913,8,6195,1.291,8,11974,0.668,0,3573,0,0,24,0,0,3597,0,8,15571,0.514
2011,7,Chemung,Urban,Medicare,4,7497,0.534,9,4712,1.91,1,1402,0.713,10,6114,1.636,14,13611,1.029,0,4154,0,0,18447,0,0,22601,0,14,36212,0.387
2012,7,Chemung,Urban,Medicare,1,7679,0.13,9,4455,2.02,1,1453,0.688,10,5908,1.693,11,13587,0.81,0,3965,0,0,17629,0,0,21594,0,11,35181,0.313
2010,7,Chemung,Urban,Other,0,1158,0,2,256,7.813,0,123,0,2,379,5.277,2,1537,1.301,0,311,0,0,3,0,0,314,0,2,1851,1.08
2011,7,Chemung,Urban,Other,0,1480,0,1,225,4.444,1,105,9.524,2,330,6.061,2,1810,1.105,0,320,0,0,1711,0,0,2031,0,2,3841,0.521
2012,7,Chemung,Urban,Other,0,1310,0,0,209,0,0,101,0,0,310,0,0,1620,0,0,250,0,0,1603,0,0,1853,0,0,3473,0
2010,8,Chenango,Rural,Commercial,4,10191,0.393,3,738,4.065,1,1202,0.832,4,1940,2.062,8,12131,0.659,0,4206,0,0,161,0,0,4367,0,8,16498,0.485
2010,8,Chenango,Rural,Medicaid,5,7847,0.637,3,426,7.042,4,787,5.083,7,1213,5.771,12,9060,1.325,0,994,0,0,38,0,0,1032,0,12,10092,1.189
2010,8,Chenango,Rural,Medicare,1,4360,0.229,6,1724,3.48,1,948,1.055,7,2672,2.62,8,7032,1.138,0,3028,0,0,114,0,0,3142,0,8,10174,0.786
2010,8,Chenango,Rural,Other,0,268,0,0,65,0,1,65,15.385,1,130,7.692,1,398,2.513,0,98,0,0,6,0,0,104,0,1,502,1.992
2011,8,Chenango,Rural,Other,0,453,0,0,85,0,0,64,0,0,149,0,0,602,0,0,74,0,0,860,0,0,934,0,0,1536,0
2012,8,Chenango,Rural,Other,0,595,0,0,76,0,0,48,0,0,124,0,0,719,0,0,70,0,0,523,0,0,593,0,0,1312,0
2013,8,Chenango,Rural,Other,0,523,0,1,54,18.519,0,41,0,1,95,10.526,1,618,1.618,0,94,0,0,793,0,0,887,0,1,1505,0.664
2012,9,Clinton,Rural,Medicaid,0,4139,0,8,498,16.064,0,460,0,8,958,8.351,8,5097,1.57,0,768,0,0,4034,0,0,4802,0,8,9899,0.808
2010,9,Clinton,Rural,Medicare,2,4958,0.403,6,3167,1.895,0,806,0,6,3973,1.51,8,8931,0.896,0,4946,0,0,2,0,0,4948,0,8,13879,0.576
2010,9,Clinton,Rural,Other,0,58,0,0,28,0,0,43,0,0,71,0,0,129,0,0,210,0,0,0,0,0,210,0,0,339,0
2011,9,Clinton,Rural,Other,0,72,0,0,41,0,0,23,0,0,64,0,0,136,0,0,241,0,0,91,0,0,332,0,0,468,0
2012,9,Clinton,Rural,Other,0,52,0,0,56,0,0,32,0,0,88,0,0,140,0,0,186,0,0,71,0,0,257,0,0,397,0
2013,9,Clinton,Rural,Other,0,138,0,1,62,16.129,0,29,0,1,91,10.989,1,229,4.367,0,187,0,0,104,0,0,291,0,1,520,1.923
2010,10,Columbia,Rural,Medicaid,2,4165,0.48,3,542,5.535,1,658,1.52,4,1200,3.333,6,5365,1.118,0,631,0,0,1,0,0,632,0,6,5997,1.001
2010,10,Columbia,Rural,Medicare,1,3497,0.286,3,2437,1.231,0,869,0,3,3306,0.907,4,6803,0.588,0,2231,0,0,4,0,0,2235,0,4,9038,0.443
2010,10,Columbia,Rural,Other,0,490,0,0,64,0,0,35,0,0,99,0,0,589,0,0,106,0,0,0,0,0,106,0,0,695,0
2011,10,Columbia,Rural,Other,0,565,0,0,86,0,0,25,0,0,111,0,0,676,0,0,138,0,0,473,0,0,611,0,0,1287,0
2012,10,Columbia,Rural,Other,0,613,0,0,78,0,0,30,0,0,108,0,0,721,0,0,96,0,0,496,0,0,592,0,0,1313,0
2013,10,Columbia,Rural,Other,0,632,0,0,65,0,0,35,0,0,100,0,0,732,0,0,119,0,0,513,0,0,632,0,0,1364,0
2014,10,Columbia,Rural,Other,1,607,1.647,0,70,0,0,20,0,0,90,0,1,697,1.435,0,117,0,0,410,0,0,527,0,1,1224,0.817
2010,11,Cortland,Rural,Commercial,3,5297,0.566,3,696,4.31,0,947,0,3,1643,1.826,6,6940,0.865,0,1766,0,0,22,0,0,1788,0,6,8728,0.687
2010,11,Cortland,Rural,Medicaid,4,4801,0.833,6,566,10.601,0,751,0,6,1317,4.556,10,6118,1.635,0,395,0,0,10,0,0,405,0,10,6523,1.533
2010,11,Cortland,Rural,Medicare,0,2734,0,4,2005,1.995,0,719,0,4,2724,1.468,4,5458,0.733,0,879,0,0,6,0,0,885,0,4,6343,0.631
2011,11,Cortland,Rural,Medicare,2,3810,0.525,1,2299,0.435,0,749,0,1,3048,0.328,3,6858,0.437,0,1256,0,0,3508,0,0,4764,0,3,11622,0.258
2010,11,Cortland,Rural,Other,0,304,0,0,56,0,0,44,0,0,100,0,0,404,0,0,46,0,0,2,0,0,48,0,0,452,0
2011,11,Cortland,Rural,Other,1,5008,0.2,1,100,10,0,33,0,1,133,7.519,2,5141,0.389,0,105,0,0,159,0,0,264,0,2,5405,0.37
2013,11,Cortland,Rural,Other,0,381,0,0,44,0,0,33,0,0,77,0,0,458,0,0,98,0,0,146,0,0,244,0,0,702,0
2010,12,Delaware,Rural,Commercial,1,7667,0.13,2,562,3.559,1,953,1.049,3,1515,1.98,4,9182,0.436,0,4285,0,0,142,0,0,4427,0,4,13609,0.294
2010,12,Delaware,Rural,Medicaid,5,5334,0.937,4,319,12.539,2,657,3.044,6,976,6.148,11,6310,1.743,0,916,0,0,38,0,0,954,0,11,7264,1.514
2010,12,Delaware,Rural,Medicare,2,4799,0.417,2,1101,1.817,5,1671,2.992,7,2772,2.525,9,7571,1.189,0,4641,0,0,116,0,0,4757,0,9,12328,0.73
2010,12,Delaware,Rural,Other,1,449,2.227,0,172,0,0,179,0,0,351,0,1,800,1.25,0,134,0,0,2,0,0,136,0,1,936,1.068
2011,12,Delaware,Rural,Other,0,539,0,4,141,28.369,0,151,0,4,292,13.699,4,831,4.813,0,88,0,0,1016,0,0,1104,0,4,1935,2.067
2013,12,Delaware,Rural,Other,0,538,0,0,39,0,0,38,0,0,77,0,0,615,0,0,60,0,0,761,0,0,821,0,0,1436,0
2010,13,Dutchess,Urban,Medicaid,15,15468,0.97,18,1072,16.791,4,3789,1.056,22,4861,4.526,37,20329,1.82,0,1388,0,0,4,0,0,1392,0,37,21721,1.703
2010,13,Dutchess,Urban,Medicare,8,13043,0.613,8,4191,1.909,6,9724,0.617,14,13915,1.006,22,26958,0.816,0,7442,0,0,12,0,0,7454,0,22,34412,0.639
2010,13,Dutchess,Urban,Other,2,2962,0.675,1,490,2.041,0,697,0,1,1187,0.842,3,4149,0.723,0,2275,0,0,0,0,0,2275,0,3,6424,0.467
2011,13,Dutchess,Urban,Other,0,3410,0,1,814,1.229,0,482,0,1,1296,0.772,1,4706,0.212,0,2664,0,0,1343,0,0,4007,0,1,8713,0.115
2012,13,Dutchess,Urban,Other,4,4155,0.963,1,712,1.404,0,310,0,1,1022,0.978,5,5177,0.966,0,2808,0,0,1696,0,0,4504,0,5,9681,0.516
2013,13,Dutchess,Urban,Other,3,3962,0.757,3,680,4.412,0,248,0,3,928,3.233,6,4890,1.227,0,2596,0,0,1689,0,0,4285,0,6,9175,0.654
2010,14,Erie,Urban,Medicaid,95,99491,0.955,69,11355,6.077,2,13412,0.149,71,24767,2.867,166,124258,1.336,0,12476,0,0,11,0,0,12487,0,166,136745,1.214
2010,14,Erie,Urban,Medicare,35,46454,0.753,62,34529,1.796,3,11221,0.267,65,45750,1.421,100,92204,1.085,0,30262,0,0,12,0,0,30274,0,100,122478,0.816
2010,14,Erie,Urban,Other,5,12836,0.39,5,1180,4.237,0,875,0,5,2055,2.433,10,14891,0.672,0,1898,0,0,5,0,0,1903,0,10,16794,0.595
2010,15,Essex,Rural,Commercial,6,7528,0.797,5,569,8.787,0,682,0,5,1251,3.997,11,8779,1.253,0,2322,0,0,1,0,0,2323,0,11,11102,0.991
2013,15,Essex,Rural,Commercial,3,7120,0.421,1,419,2.387,0,565,0,1,984,1.016,4,8104,0.494,0,2145,0,0,7808,0,0,9953,0,4,18057,0.222
2010,15,Essex,Rural,Medicaid,1,2744,0.364,2,254,7.874,0,368,0,2,622,3.215,3,3366,0.891,0,284,0,0,2,0,0,286,0,3,3652,0.821
2011,15,Essex,Rural,Medicaid,2,3407,0.587,3,246,12.195,0,247,0,3,493,6.085,5,3900,1.282,0,358,0,0,2607,0,0,2965,0,5,6865,0.728
2013,15,Essex,Rural,Medicaid,4,4167,0.96,1,188,5.319,1,222,4.505,2,410,4.878,6,4577,1.311,0,408,0,0,2763,0,0,3171,0,6,7748,0.774
2010,15,Essex,Rural,Medicare,0,2174,0,2,1133,1.765,0,750,0,2,1883,1.062,2,4057,0.493,0,1482,0,0,0,0,0,1482,0,2,5539,0.361
2013,15,Essex,Rural,Medicare,4,4242,0.943,0,807,0,0,692,0,0,1499,0,4,5741,0.697,0,1622,0,0,7026,0,0,8648,0,4,14389,0.278
2010,15,Essex,Rural,Other,0,267,0,1,48,20.833,0,18,0,1,66,15.152,1,333,3.003,0,96,0,0,0,0,0,96,0,1,429,2.331
2011,15,Essex,Rural,Other,0,276,0,0,27,0,0,24,0,0,51,0,0,327,0,0,94,0,0,252,0,0,346,0,0,673,0
2012,15,Essex,Rural,Other,0,281,0,0,30,0,0,14,0,0,44,0,0,325,0,0,98,0,0,147,0,0,245,0,0,570,0
2013,15,Essex,Rural,Other,0,272,0,0,24,0,0,19,0,0,43,0,0,315,0,0,68,0,0,112,0,0,180,0,0,495,0
2014,15,Essex,Rural,Other,0,339,0,0,30,0,0,22,0,0,52,0,0,391,0,0,82,0,0,124,0,0,206,0,0,597,0
2010,16,Franklin,Rural,Commercial,3,8046,0.373,6,1008,5.952,0,1038,0,6,2046,2.933,9,10092,0.892,0,3097,0,0,3,0,0,3100,0,9,13192,0.682
2010,16,Franklin,Rural,Medicaid,0,5492,0,4,678,5.9,0,746,0,4,1424,2.809,4,6916,0.578,0,733,0,0,0,0,0,733,0,4,7649,0.523
2012,16,Franklin,Rural,Medicaid,1,2172,0.46,4,208,19.231,0,252,0,4,460,8.696,5,2632,1.9,0,293,0,0,1787,0,0,2080,0,5,4712,1.061
2013,16,Franklin,Rural,Medicaid,1,2056,0.486,0,174,0,0,243,0,0,417,0,1,2473,0.404,0,312,0,0,1696,0,0,2008,0,1,4481,0.223
2010,16,Franklin,Rural,Medicare,0,3159,0,7,1941,3.606,1,495,2.02,8,2436,3.284,8,5595,1.43,0,1873,0,0,1,0,0,1874,0,8,7469,1.071
2013,16,Franklin,Rural,Medicare,0,1729,0,4,702,5.698,0,385,0,4,1087,3.68,4,2816,1.42,0,940,0,0,2966,0,0,3906,0,4,6722,0.595
2010,16,Franklin,Rural,Other,0,1209,0,0,205,0,0,116,0,0,321,0,0,1530,0,0,544,0,0,2,0,0,546,0,0,2076,0
2013,16,Franklin,Rural,Other,0,1042,0,0,107,0,0,97,0,0,204,0,0,1246,0,0,230,0,0,483,0,0,713,0,0,1959,0
2014,16,Franklin,Rural,Other,1,995,1.005,0,130,0,0,70,0,0,200,0,1,1195,0.837,0,245,0,0,506,0,0,751,0,1,1946,0.514
2010,17,Fulton,Rural,Commercial,3,7331,0.409,2,942,2.123,1,1179,0.848,3,2121,1.414,6,9452,0.635,0,4798,0,0,1,0,0,4799,0,6,14251,0.421
2012,17,Fulton,Rural,Commercial,5,6714,0.745,1,800,1.25,1,1114,0.898,2,1914,1.045,7,8628,0.811,0,4609,0,0,7196,0,0,11805,0,7,20433,0.343
2010,17,Fulton,Rural,Medicaid,3,6567,0.457,1,946,1.057,1,1132,0.883,2,2078,0.962,5,8645,0.578,0,1468,0,0,0,0,0,1468,0,5,10113,0.494
2012,17,Fulton,Rural,Medicaid,0,4501,0,3,775,3.871,1,944,1.059,4,1719,2.327,4,6220,0.643,0,1633,0,0,3785,0,0,5418,0,4,11638,0.344
2013,17,Fulton,Rural,Medicaid,4,10067,0.397,4,820,4.878,0,978,0,4,1798,2.225,8,11865,0.674,0,1594,0,0,6172,0,0,7766,0,8,19631,0.408
2010,17,Fulton,Rural,Medicare,0,3254,0,1,2544,0.393,0,1067,0,1,3611,0.277,1,6865,0.146,0,3058,0,0,0,0,0,3058,0,1,9923,0.101
2012,17,Fulton,Rural,Medicare,1,2711,0.369,7,2405,2.911,2,1202,1.664,9,3607,2.495,10,6318,1.583,0,3374,0,0,6319,0,0,9693,0,10,16011,0.625
2010,17,Fulton,Rural,Other,0,668,0,0,76,0,0,42,0,0,118,0,0,786,0,0,156,0,0,0,0,0,156,0,0,942,0
2011,17,Fulton,Rural,Other,0,316,0,0,74,0,0,64,0,0,138,0,0,454,0,0,137,0,0,337,0,0,474,0,0,928,0
2012,17,Fulton,Rural,Other,0,376,0,1,68,14.706,0,46,0,1,114,8.772,1,490,2.041,0,171,0,0,305,0,0,476,0,1,966,1.035
2014,17,Fulton,Rural,Other,0,763,0,0,62,0,0,66,0,0,128,0,0,891,0,0,158,0,0,480,0,0,638,0,0,1529,0
2010,18,Genesee,Rural,Commercial,4,9884,0.405,8,1143,6.999,0,1809,0,8,2952,2.71,12,12836,0.935,0,4710,0,0,93,0,0,4803,0,12,17639,0.68
2010,18,Genesee,Rural,Medicaid,2,5523,0.362,5,384,13.021,0,683,0,5,1067,4.686,7,6590,1.062,0,570,0,0,21,0,0,591,0,7,7181,0.975
2010,18,Genesee,Rural,Medicare,3,3392,0.884,2,2521,0.793,0,1013,0,2,3534,0.566,5,6926,0.722,0,2659,0,0,58,0,0,2717,0,5,9643,0.519
2010,18,Genesee,Rural,Other,0,706,0,0,77,0,0,50,0,0,127,0,0,833,0,0,92,0,0,24,0,0,116,0,0,949,0
2012,18,Genesee,Rural,Other,0,873,0,1,91,10.989,0,50,0,1,141,7.092,1,1014,0.986,0,139,0,0,444,0,0,583,0,1,1597,0.626
2013,18,Genesee,Rural,Other,3,792,3.788,0,76,0,0,49,0,0,125,0,3,917,3.272,0,136,0,0,554,0,0,690,0,3,1607,1.867
2010,19,Greene,Rural,Commercial,2,6017,0.332,3,989,3.033,0,1169,0,3,2158,1.39,5,8175,0.612,0,3415,0,0,3,0,0,3418,0,5,11593,0.431
2010,19,Greene,Rural,Medicaid,1,2085,0.48,8,478,16.736,0,630,0,8,1108,7.22,9,3193,2.819,0,554,0,0,1,0,0,555,0,9,3748,2.401
2010,19,Greene,Rural,Medicare,2,1988,1.006,4,2023,1.977,1,726,1.377,5,2749,1.819,7,4737,1.478,0,1915,0,0,32,0,0,1947,0,7,6684,1.047
2012,19,Greene,Rural,Medicare,1,2546,0.393,4,2199,1.819,0,670,0,4,2869,1.394,5,5415,0.923,0,2295,0,0,3464,0,0,5759,0,5,11174,0.447
2010,19,Greene,Rural,Other,0,357,0,0,111,0,0,95,0,0,206,0,0,563,0,0,303,0,0,1,0,0,304,0,0,867,0
2011,19,Greene,Rural,Other,0,473,0,0,180,0,0,74,0,0,254,0,0,727,0,0,299,0,0,578,0,0,877,0,0,1604,0
2012,19,Greene,Rural,Other,0,481,0,0,169,0,0,66,0,0,235,0,0,716,0,0,269,0,0,403,0,0,672,0,0,1388,0
2013,19,Greene,Rural,Other,1,509,1.965,0,153,0,0,82,0,0,235,0,1,744,1.344,0,286,0,0,741,0,0,1027,0,1,1771,0.565
2010,20,Hamilton,Rural,Commercial,1,315,3.175,0,77,0,0,92,0,0,169,0,1,484,2.066,0,358,0,0,2,0,0,360,0,1,844,1.185
2011,20,Hamilton,Rural,Commercial,0,260,0,0,75,0,0,73,0,0,148,0,0,408,0,0,361,0,0,395,0,0,756,0,0,1164,0
2012,20,Hamilton,Rural,Commercial,0,364,0,1,73,13.699,0,93,0,1,166,6.024,1,530,1.887,0,329,0,0,361,0,0,690,0,1,1220,0.82
2013,20,Hamilton,Rural,Commercial,0,432,0,0,62,0,0,94,0,0,156,0,0,588,0,0,390,0,0,509,0,0,899,0,0,1487,0
2010,20,Hamilton,Rural,Medicaid,0,93,0,0,30,0,0,45,0,0,75,0,0,168,0,0,45,0,0,0,0,0,45,0,0,213,0
2011,20,Hamilton,Rural,Medicaid,0,107,0,0,29,0,0,46,0,0,75,0,0,182,0,0,47,0,0,128,0,0,175,0,0,357,0
2012,20,Hamilton,Rural,Medicaid,0,101,0,0,29,0,0,34,0,0,63,0,0,164,0,0,35,0,0,102,0,0,137,0,0,301,0
2013,20,Hamilton,Rural,Medicaid,1,161,6.211,1,24,41.667,0,32,0,1,56,17.857,2,217,9.217,0,46,0,0,136,0,0,182,0,2,399,5.013
2014,20,Hamilton,Rural,Medicaid,1,187,5.348,0,27,0,0,36,0,0,63,0,1,250,4,0,64,0,0,170,0,0,234,0,1,484,2.066
2010,20,Hamilton,Rural,Medicare,0,161,0,0,193,0,0,102,0,0,295,0,0,456,0,0,285,0,0,0,0,0,285,0,0,741,0
2011,20,Hamilton,Rural,Medicare,0,182,0,0,187,0,0,118,0,0,305,0,0,487,0,0,380,0,0,449,0,0,829,0,0,1316,0
2012,20,Hamilton,Rural,Medicare,0,219,0,0,164,0,0,107,0,0,271,0,0,490,0,0,373,0,0,457,0,0,830,0,0,1320,0
2013,20,Hamilton,Rural,Medicare,0,338,0,0,159,0,0,100,0,0,259,0,0,597,0,0,369,0,0,587,0,0,956,0,0,1553,0
2010,20,Hamilton,Rural,Other,0,32,0,0,5,0,0,3,0,0,8,0,0,40,0,0,12,0,0,0,0,0,12,0,0,52,0
2011,20,Hamilton,Rural,Other,1,30,33.333,0,7,0,0,4,0,0,11,0,1,41,24.39,0,14,0,0,28,0,0,42,0,1,83,12.048
2012,20,Hamilton,Rural,Other,0,18,0,0,8,0,0,4,0,0,12,0,0,30,0,0,16,0,0,38,0,0,54,0,0,84,0
2013,20,Hamilton,Rural,Other,0,31,0,0,8,0,0,4,0,0,12,0,0,43,0,0,11,0,0,28,0,0,39,0,0,82,0
2014,20,Hamilton,Rural,Other,0,35,0,0,4,0,0,4,0,0,8,0,0,43,0,0,5,0,0,22,0,0,27,0,0,70,0
2010,21,Herkimer,Urban,Commercial,6,7053,0.851,3,877,3.421,2,1377,1.452,5,2254,2.218,11,9307,1.182,0,6570,0,0,6,0,0,6576,0,11,15883,0.693
2012,21,Herkimer,Urban,Commercial,2,8436,0.237,5,837,5.974,4,1223,3.271,9,2060,4.369,11,10496,1.048,0,4621,0,0,6205,0,0,10826,0,11,21322,0.516
2010,21,Herkimer,Urban,Medicaid,8,6097,1.312,5,555,9.009,4,1090,3.67,9,1645,5.471,17,7742,2.196,0,2110,0,0,5,0,0,2115,0,17,9857,1.725
2012,21,Herkimer,Urban,Medicaid,2,7265,0.275,7,682,10.264,0,960,0,7,1642,4.263,9,8907,1.01,0,1197,0,0,5381,0,0,6578,0,9,15485,0.581
2010,21,Herkimer,Urban,Medicare,2,3802,0.526,6,2694,2.227,4,1504,2.66,10,4198,2.382,12,8000,1.5,0,5516,0,0,5,0,0,5521,0,12,13521,0.888
2013,21,Herkimer,Urban,Medicare,1,4815,0.208,3,2096,1.431,0,1665,0,3,3761,0.798,4,8576,0.466,0,2954,0,0,30069,0,0,33023,0,4,41599,0.096
2010,21,Herkimer,Urban,Other,0,574,0,1,68,14.706,0,51,0,1,119,8.403,1,693,1.443,0,167,0,0,0,0,0,167,0,1,860,1.163
2011,21,Herkimer,Urban,Other,0,879,0,0,106,0,0,65,0,0,171,0,0,1050,0,0,168,0,0,817,0,0,985,0,0,2035,0
2012,21,Herkimer,Urban,Other,1,920,1.087,0,107,0,0,74,0,0,181,0,1,1101,0.908,0,118,0,0,440,0,0,558,0,1,1659,0.603
2013,21,Herkimer,Urban,Other,0,879,0,0,70,0,0,59,0,0,129,0,0,1008,0,0,129,0,0,633,0,0,762,0,0,1770,0
2010,22,Jefferson,Urban,Commercial,1,12047,0.083,4,1148,3.484,0,2040,0,4,3188,1.255,5,15235,0.328,0,4965,0,0,124,0,0,5089,0,5,20324,0.246
