Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2021,NY,New York,Schuyler,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,76.6,,,72.8,80.1,17752,36097,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-76.938603 42.4197755)
2021,NY,New York,Hamilton,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,19.4,,,16.3,23,5119,36041,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-74.5024556 43.6578786)
2021,NY,New York,Rensselaer,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.6,,,31.9,41.4,160232,36083,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-73.5138454 42.7104206)
2021,NY,New York,Madison,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,30.2,,,27.5,33.1,67658,36053,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-75.6635749 42.9100255)
2021,NY,New York,Dutchess,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.3,,,8.1,10.7,297112,36027,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-73.7400411 41.7547699)
2021,NY,New York,Saratoga,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,10.4,,,8.6,12.4,237359,36091,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-73.8553872 43.1061353)
2021,NY,New York,Herkimer,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.8,,,10.1,13.6,59937,36043,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-74.8410968 43.571009)
2020,NY,New York,Chemung,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,63.6,,,59.8,67.1,83045,36015,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-76.7524712 42.1486972)
2021,NY,New York,Niagara,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,16.5,,,14.5,18.7,211653,36063,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-78.8129431 43.2726719)
2021,NY,New York,Yates,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.3,,,26.7,36.1,24613,36123,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-77.1043238 42.638237)
2021,NY,New York,Chemung,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,27.6,,,23.5,31.7,83045,36015,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-76.7524712 42.1486972)
2020,NY,New York,Schuyler,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.9,,,8.3,18.2,17752,36097,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-76.938603 42.4197755)
2020,NY,New York,Essex,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,67.4,,,63.7,71.1,37268,36031,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-73.7784307 44.1096005)
2021,NY,New York,Cattaraugus,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,25.5,,,22.2,28.8,76426,36009,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-78.662332 42.2390986)
2021,NY,New York,Allegany,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,59.8,,,55.5,64,46106,36003,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-78.0261531 42.2478532)
2020,NY,New York,Greene,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,38.5,,,30.8,46.9,48499,36039,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-74.1420253 42.2798211)
2021,NY,New York,Ontario,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,28.3,,,25.4,31.3,112508,36069,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-77.3034967 42.8563575)
2020,NY,New York,Schenectady,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,66.1,,,62.9,69.2,158089,36093,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-74.0435592 42.8175516)
2021,NY,New York,Wayne,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,9.5,,,8.2,10.7,90923,36117,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-77.0494024 43.2181139)
2021,NY,New York,Cortland,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,82.7,,,79.5,85.7,46311,36023,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-76.0762398 42.594039)
2021,NY,New York,Chemung,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,31.7,,,28.8,34.6,83045,36015,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-76.7524712 42.1486972)
2021,NY,New York,Westchester,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,11.7,,,9.9,13.6,997895,36119,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-73.7457526 41.1526862)
2020,NY,New York,Yates,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,75.7,,,72.1,78.7,24613,36123,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-77.1043238 42.638237)
2021,NY,New York,Monroe,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,15.8,,,14,17.7,755160,36055,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-77.7005177 43.2503466)
2020,NY,New York,Tioga,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,48.6,,,39.5,57.8,47980,36107,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-76.2974556 42.1780565)
2021,NY,New York,Suffolk,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,6,,,5.3,6.8,1526344,36103,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-72.6922183 40.943554)
2021,NY,New York,Albany,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11,,,9.4,12.9,313743,36001,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-73.9740095 42.5882401)
2020,NY,New York,Tompkins,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,76.5,,,72.7,79.9,105162,36109,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-76.4734835 42.4530063)
2021,NY,New York,Rockland,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,26.2,,,22.1,30.5,339227,36087,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-74.0246616 41.1546276)
2021,NY,New York,Monroe,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,85,,,82.6,87.1,755160,36055,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-77.7005177 43.2503466)
2020,NY,New York,Niagara,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,74.1,,,70.6,77,211653,36063,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-78.8129431 43.2726719)
2021,NY,New York,Wayne,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.4,,,3,3.7,90923,36117,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-77.0494024 43.2181139)
2020,NY,New York,Montgomery,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,34.9,,,33.5,36.3,49558,36057,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-74.4353575 42.9008912)
2020,NY,New York,Clinton,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,39.6,,,32.2,47.4,79596,36019,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-73.7056429 44.752712)
2021,NY,New York,Kings,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,13.9,,,11.6,16.2,2641052,36047,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-73.9506398 40.6350451)
2021,NY,New York,Albany,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32,,,28.9,35.3,313743,36001,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-73.9740095 42.5882401)
2021,NY,New York,Cayuga,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,9.2,,,7.5,11,75880,36011,HLTHOUT,COPD,CrdPrv,COPD,POINT (-76.5745866 43.0085456)
2021,NY,New York,Onondaga,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.5,,,5.8,7.1,473236,36067,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-76.1961336 43.0065163)
2021,NY,New York,Livingston,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.6,,,28.8,34.6,61578,36051,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-77.778463 42.7290418)
2021,NY,New York,Otsego,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,7,,,6.1,8.1,58123,36077,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-75.028841 42.6297762)
2021,NY,New York,New York,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,13.1,,,11.4,15.3,1576876,36061,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-73.9701871 40.7766419)
2021,NY,New York,Suffolk,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,8.7,,,7.6,9.9,1526344,36103,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-72.6922183 40.943554)
2020,NY,New York,Essex,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,40,,,31.9,48.5,37268,36031,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-73.7784307 44.1096005)
2021,NY,New York,Herkimer,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.3,,,13.2,17.4,59937,36043,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-74.8410968 43.571009)
2021,NY,New York,Clinton,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,14.6,,,12.3,17.2,79596,36019,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-73.7056429 44.752712)
2021,NY,New York,Cortland,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,10.7,,,9.2,12.2,46311,36023,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-76.0762398 42.594039)
2020,NY,New York,Westchester,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,32.5,,,31.4,33.6,997895,36119,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-73.7457526 41.1526862)
2020,NY,New York,Seneca,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,74,,,68.8,78.3,33688,36099,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-76.827088 42.7822943)
2020,NY,New York,Saratoga,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,86.9,,,84.8,89.2,237359,36091,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-73.8553872 43.1061353)
2021,NY,New York,Yates,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.5,,,3.1,3.9,24613,36123,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-77.1043238 42.638237)
2021,NY,New York,Allegany,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,28.6,,,25,32.4,46106,36003,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-78.0261531 42.2478532)
2021,NY,New York,Cortland,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.6,,,26.9,32.5,46311,36023,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-76.0762398 42.594039)
2020,NY,New York,Montgomery,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84,,,81.8,86.1,49558,36057,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-74.4353575 42.9008912)
2021,NY,New York,Westchester,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.8,,,8.8,10.9,997895,36119,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-73.7457526 41.1526862)
2021,NY,New York,New York,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,11.1,,,9.8,12.8,1576876,36061,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-73.9701871 40.7766419)
2020,NY,New York,Orleans,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,83.8,,,81.6,86.1,40191,36073,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-78.2070281 43.3399059)
2020,NY,New York,Sullivan,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,12.5,,,8.3,17.1,79806,36105,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-74.7715769 41.7199928)
2021,NY,New York,Richmond,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,16,,,13.3,19.3,493494,36085,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-74.1398995 40.5612628)
2021,NY,New York,Lewis,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.6,,,10.9,14.5,26573,36049,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-75.4441402 43.7826811)
2021,NY,New York,Tompkins,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,21.7,,,19.4,24.2,105162,36109,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-76.4734835 42.4530063)
2021,NY,New York,Chautauqua,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,15.4,,,13.2,18.2,126807,36013,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-79.4075949 42.3042159)
2020,NY,New York,Seneca,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,76.5,,,73.2,79.1,33688,36099,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-76.827088 42.7822943)
2021,NY,New York,Onondaga,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.4,,,32.5,40.3,473236,36067,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-76.1961336 43.0065163)
2021,NY,New York,Lewis,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,8.2,,,6.9,9.5,26573,36049,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-75.4441402 43.7826811)
2021,NY,New York,Fulton,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,31.6,,,28.9,34.4,53116,36035,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-74.4236782 43.1156093)
2021,NY,New York,Chautauqua,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,36.2,,,33.2,39.5,126807,36013,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-79.4075949 42.3042159)
2021,NY,New York,Onondaga,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35.2,,,32.3,38.1,473236,36067,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-76.1961336 43.0065163)
2021,NY,New York,Madison,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,8.6,,,7.4,9.8,67658,36053,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-75.6635749 42.9100255)
2021,NY,New York,Orleans,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,78.9,,,76.1,81.5,40191,36073,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-78.2070281 43.3399059)
2021,NY,New York,Wayne,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,29.1,,,26.6,31.6,90923,36117,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-77.0494024 43.2181139)
2021,NY,New York,Sullivan,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,8.7,,,7.5,10,79806,36105,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-74.7715769 41.7199928)
2021,NY,New York,Dutchess,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,13.1,,,11.1,15.2,297112,36027,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-73.7400411 41.7547699)
2021,NY,New York,Fulton,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.5,,,3.2,4,53116,36035,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-74.4236782 43.1156093)
2021,NY,New York,Putnam,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.6,,,7.4,10,97936,36079,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-73.7438608 41.4279067)
2021,NY,New York,Sullivan,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,32.6,,,29.6,35.4,79806,36105,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-74.7715769 41.7199928)
2021,NY,New York,Chenango,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.4,,,13.9,19,46537,36017,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-75.6022407 42.4780238)
2021,NY,New York,Chautauqua,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,13.8,,,12,15.8,126807,36013,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-79.4075949 42.3042159)
2021,NY,New York,Nassau,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,59.5,,,55.8,63.2,1390907,36059,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-73.5894144 40.7296118)
2021,NY,New York,Clinton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.7,7,79596,36019,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-73.7056429 44.752712)
2021,NY,New York,Nassau,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.8,6.5,1390907,36059,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-73.5894144 40.7296118)
2021,NY,New York,Rockland,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,11.5,,,9.7,13.3,339227,36087,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-74.0246616 41.1546276)
2021,NY,New York,Queens,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,7.6,,,6.7,8.5,2331143,36081,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-73.8412089 40.6546581)
2021,NY,New York,Oneida,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,11,,,9.4,12.7,230274,36065,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-75.4342824 43.2427273)
2021,NY,New York,Broome,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.1,,,3.4,4.8,197240,36007,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-75.8302833 42.1619773)
2021,NY,New York,Cattaraugus,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,30.5,,,26.7,34.6,76426,36009,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-78.662332 42.2390986)
2020,NY,New York,Washington,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,43.7,,,35.4,52.6,60956,36115,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-73.4394282 43.3123766)
2021,NY,New York,Broome,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.6,,,4.9,6.3,197240,36007,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-75.8302833 42.1619773)
2021,NY,New York,Dutchess,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11.3,,,9.6,13.2,297112,36027,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-73.7400411 41.7547699)
2021,NY,New York,Chenango,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,82.4,,,79.2,85.2,46537,36017,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-75.6022407 42.4780238)
2021,NY,New York,Bronx,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.5,,,5.8,7.2,1424948,36005,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-73.852939 40.8487111)
2020,NY,New York,Clinton,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,75.2,,,70.8,79.3,79596,36019,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-73.7056429 44.752712)
2021,NY,New York,Wyoming,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,7.2,,,6.3,8.1,40491,36121,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-78.2285667 42.7013627)
