NAME,ADDRESS,CITY,STATE
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET, PO BOX 2208",ANNISTON,AL
NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT,AL
NORTHWEST MEDICAL CENTER,1530 U S HWY 43,WINFIELD,AL
PRATTVILLE BAPTIST HOSPITAL,124 SOUTH MEMORIAL DRIVE,PRATTVILLE,AL
PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SW,BIRMINGHAM,AL
PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD, PO BOX 850429",MOBILE,AL
RED BAY HOSPITAL,"211 HOSPITAL ROAD, PO BOX 490",RED BAY,AL
REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 LV STABLER DRIVE,GREENVILLE,AL
REGIONAL REHABILITATION HOSPITAL,3715 US HIGHWAY 431 NORTH,PHENIX CITY,AL
RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL
RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280, PO BOX 939",ALEXANDER CITY,AL
RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43, PO BOX 1089",RUSSELLVILLE,AL
SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",BIRMINGHAM,AL
SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL
SHOALS HOSPITAL,"201 W AVALON AVENUE, PO BOX 3359",MUSCLE SHOALS,AL
SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL
SOUTHEAST HEALTH MEDICAL CENTER,"1108 ROSS CLARK CIRCLE, PO BOX 6987",DOTHAN,AL
SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL
ST. VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL
ST. VINCENT'S BLOUNT,"150 GILBREATH DRIVE, PO BOX 1000",ONEONTA,AL
ST. VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL
ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL
ST. VINCENT'S ST.CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL
STRINGFELLOW MEMORIAL HOSPITAL,"301 EAST 18TH STREET, PO BOX 38",ANNISTON,AL
TANNER MEDICAL CENTER - EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL
THOMAS HOSPITAL,"750 MORPHY AVENUE, PO DRAWER 929",FAIRHOPE,AL
THOMASVILLE REGIONAL MEDICAL CENTER,300 MEDICAL PARK DRIVE,THOMASVILLE,AL
TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL
UAB CALLAHAN EYE HOSPITAL AUTHORITY,1720 UNIVERSITY BOULEVARD,BIRMINGHAM,AL
UNITY PSYCHIATRIC CARE - HUNTSVILLE,5315 MILLENNIUM DRIVE,HUNTSVILLE,AL
UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH NINETEENTH STREET,BIRMINGHAM,AL
USA HEALTH CHILDREN'S AND WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL
USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL
VAUGHAN REGIONAL MEDICAL CENTER - PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL
WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78, EAST, PO BOX 3547",JASPER,AL
WASHINGTON COUNTY HOSPITAL,"14600 ST STEPHENS AVENUE, PO BOX 1299",CHATOM,AL
WHITFIELD REGIONAL HOSPITAL,105 US HIGHWAY 80 EAST,DEMOPOLIS,AL
WIREGRASS MEDICAL CENTER,1200 WEST MAPLE AVENUE,GENEVA,AL
ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK
CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK
FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES ST,FAIRBANKS,AK
MAT - SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK
MAT - SU REGIONAL OUTPATIENT CENTER,950 E BOGARD,WASILLA,AK
PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DR,ANCHORAGE,AK
ST. ELIAS SPECIALTY HOSPITAL,4800 CORDOVA ST,ANCHORAGE,AK
ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER ST,ANCHORAGE,AK
NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK
NORTH STAR HOSPITAL - CHRIS KYLE PATRIOTS HOSPITAL,1650 SOUTH BRAGAW ST,ANCHORAGE,AK
NORTH STAR HOSPITAL - RESIDENTIAL TREATMENT CENTER,1500 DEBARR CIRCLE,ANCHORAGE,AK
CORDOVA COMMUNITY MEDICAL CENTER,602 CHASE AVE,CORDOVA,AK
KANAKANAK - BRISTOL BAY,6000 KANAKANAK RD,DILLINGHAM,AK
KETCHIKAN MEDICAL CENTER,3100 TONGASS AVE,KETCHIKAN,AK
NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVE,NOME,AK
PETERSBURG MEDICAL CENTER,103 FRAM ST,PETERSBURG,AK
PROVIDENCE KODIAK ISLAND MEDICAL CENTER,1915 E REZANOF DR,KODIAK,AK
PROVIDENCE SEWARD MEDICAL AND CARE CENTER,417 FIRST AVE,SEWARD,AK
PROVIDENCE VALDEZ MEDICAL CENTER,911 MEALS AVE,VALDEZ,AK
SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,UTQIAGVIK,AK
SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK
WRANGELL MEDICAL CENTER - SEARHC,310 BENNETT ST,WRANGELL,AK
CROSS ROAD MEDICAL CENTER,"187 GLENN HWY, PO BOX 5",GLENNALLEN,AK
ILIULIUK FAMILY AND HEALTH SERVICES INC,"34 LAVELLE CT, PO BOX 144",UNALASKA,AK
LBJ TROPICAL MEDICAL CENTER,"FAGAALU VILLAGE, PO BOX LBJ",PAGO PAGO,AS
PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ
PHOENIX CHILDREN'S HOSPITAL - MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ
BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ
BENSON HOSPITAL,450 SOUTH OCOTILLO AVENUE,BENSON,AZ
COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,GLOBE,AZ
COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,BISBEE,AZ
DHHS IHS PHOENIX AREA,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ
HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,AZ
LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,AZ
LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,WINSLOW,AZ
NAVAJO HEALTH FOUNDATION,HIGHWAY 264 WEST AND 191 SOUTH,GANADO,AZ
"NORTHERN COCHISE COMMUNITY HOSPITAL, INC",901 WEST REX ALLEN DRIVE,WILLCOX,AZ
PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,AZ
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ
WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,AZ
CORNERSTONE SPECIALTY HOSPITALS TUCSON,7220 EAST ROSEWOOD STREET,TUCSON,AZ
CURAHEALTH NORTHWEST PHOENIX,13060 WEST BELL,SURPRISE,AZ
"KPC PROMISE HOSPITAL OF PHOENIX, LLC",433 EAST 6TH STREET,MESA,AZ
SELECT SPECIALTY HOSPITAL - PHOENIX,"350 WEST THOMAS ROAD, 3RD FLOOR",PHOENIX,AZ
SELECT SPECIALTY HOSPITAL ARIZONA INC,"1111 EAST MCDOWELL RD, 11TH FLOOR",PHOENIX,AZ
"SELECT SPECIALTY HOSPITAL - TUCSON, LLC",355 NORTH WILMOT ROAD,TUCSON,AZ
HOSPITAL - 6TH AVENUE,3601 S 6TH AVE,TUCSON,AZ
ARIZONA STATE FORENSIC HOSPITAL,501 NORTH 24TH STREET,PHOENIX,AZ
ARIZONA STATE HOSPITAL,2500 EAST VAN BUREN STREET,PHOENIX,AZ
AURORA BEHAVIORAL HEALTH SYSTEM,6015 WEST PEORIA AVENUE,GLENDALE,AZ
AURORA BEHAVIORAL HEALTHCARE - TEMPE,6350 SOUTH MAPLE AVENUE,TEMPE,AZ
AVENIR BEHAVIORAL HEALTH CENTER,16561 NORTH PARKVIEW PLACE,SURPRISE,AZ
BANNER BEHAVIORAL HEALTH HOSPITAL,7575 EAST EARLL DRIVE,SCOTTSDALE,AZ
CHANGEPOINT PSYCHIATRIC HOSPITAL,1920 WEST COMMERCE DRIVE,LAKESIDE,AZ
COPPER SPRINGS - EAST,3755 SOUTH ROME STREET,GILBERT,AZ
"COPPER SPRINGS HOSPITAL, LLC",10550 WEST MCDOWELL ROAD,AVONDALE,AZ
CORNERSTONE BEHAVIORAL HEALTH EL DORADO,1400 NORTH WILMOT ROAD,TUCSON,AZ
"DESTINY SPRINGS HEALTHCARE, LLC",17300 NORTH DYSART ROAD,SURPRISE,AZ
THE GUIDANCE CENTER,2187 NORTH VICKEY STREET,FLAGSTAFF,AZ
"HAVEN BEHAVIORAL SERVICES OF PHOENIX, LLC","1201 SOUTH 7TH AVENUE, SUITE 200",PHOENIX,AZ
MEDICAL BEHAVIORAL HOSPITAL OF NORTHERN ARIZONA,181 WHIPPLE STREET,PRESCOTT,AZ
OASIS BEHAVIORAL HEALTH HOSPITAL,"2190 NORTH GRACE BOULEVARD, BUILDING A",CHANDLER,AZ
PALO VERDE BEHAVIORAL HEALTH,2695 NORTH CRAYCROFT ROAD,TUCSON,AZ
"PHOENIX MEDICAL PSYCHIATRIC HOSPITAL, LLC",1346 EAST MCDOWELL ROAD,PHOENIX,AZ
QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ
SONORA BEHAVIORAL HEALTH HOSPITAL,6050 NORTH CORONA ROAD,TUCSON,AZ
"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",1800 EAST VAN BUREN,PHOENIX,AZ
TALAS HARBOR AT BUCKEYE,1407 SOUTH 9TH AVENUE,PHOENIX,AZ
TALAS HARBOR AT BULLHEAD CITY,831 LANDON DRIVE,BULLHEAD CITY,AZ
VALLEY HOSPITAL,3550 EAST PINCHOT AVENUE,PHOENIX,AZ
WINDHAVEN PSYCHIATRIC HOSPITAL,3347 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,AZ
BANNER REHABILITATION HOSPITAL - PHOENIX,775 EAST WILLETTA STREET,PHOENIX,AZ
BANNER REHABILITATION HOSPITAL - WEST,12740 NORTH PLAZA DEL RIO BOULEVARD,PEORIA,AZ
"COBALT REHABILITATION HOSPITAL IV, LLC",13060 WEST BELL ROAD,SURPRISE,AZ
DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,1515 WEST CHANDLER BOULEVARD,CHANDLER,AZ
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF EAST VALLEY,5652 EAST BASELINE ROAD,MESA,AZ
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHWEST TUCSON,1921 WEST HOSPITAL DRIVE,TUCSON,AZ
ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SCOTTSDALE,9630 EAST SHEA BOULEVARD,SCOTTSDALE,AZ
ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSON,2650 NORTH WYATT DRIVE,TUCSON,AZ
"ENCOMPASS HEALTH VALLEY OF THE SUN REHABILITATION HOSPITAL, LLC",13460 NORTH 67TH AVENUE,GLENDALE,AZ
"GLOBALREHAB - SCOTTSDALE, LLC",8850 EAST PIMA CENTER PARKWAY,SCOTTSDALE,AZ
KINGMAN REGIONAL MEDICAL CENTER - HUALAPAI MOUNTAIN CAMPUS,"3801 SANTA ROSA, 2ND FLOOR",KINGMAN,AZ
MOUNTAIN VALLEY REGIONAL REHABILITATION HOSPITAL,3700 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,AZ
"REHABILITATION HOSPITAL OF NORTHERN ARIZONA, LLC",1851 NORTH GEMINI DRIVE,FLAGSTAFF,AZ
YUMA REHABILITATION HOSPITAL - AN AFFILIATION OF ENCOMPASS HEALTH AND YRMC,901 WEST 24TH STREET,YUMA,AZ
ABRAZO ARIZONA HEART HOSPITAL,1930 EAST THOMAS ROAD,PHOENIX,AZ
ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,AZ
ABRAZO CAVE CREEK HOSPITAL,5227 EAST CAREFREE HIGHWAY,CAVE CREEK,AZ
ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ
ABRAZO MESA HOSPITAL,5750 EAST BASELINE ROAD,MESA,AZ
ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ
ABRAZO SURPRISE HOSPITAL,16815 WEST BELL ROAD,SURPRISE,AZ
ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ
ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ
BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ
BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ
BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ
BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ
BANNER DESERT MEDICAL CENTER,1400 SOUTH DOBSON ROAD,MESA,AZ
BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ
BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ
BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,AZ
BANNER HEALTH,1405 SOUTH ALMA SCHOOL ROAD,CHANDLER,AZ
BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ
BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ
BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ
BANNER - UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ
CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ
CARONDELET MARANA HOSPITAL,5620 CORTARO FARMS ROAD,TUCSON,AZ
THE CORE INSTITUTE SPECIALTY HOSPITAL,6501 NORTH 19TH AVENUE,PHOENIX,AZ
DHEW IND HLTH SV - HLTH SV AND MNTH HLTH ADM,"200 WEST HOSPITAL DRIVE, PO BOX 860",WHITERIVER,AZ
DHHS PHS NAIHS CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ
DIGNITY COMMUNITY CARE,1955 WEST FRYE ROAD,CHANDLER,AZ
DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,LAVEEN,AZ
DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,9130 EAST ELLIOT ROAD,MESA,AZ
FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ
FLORENCE HOSPITAL,4545 NORTH HUNT HIGHWAY,FLORENCE,AZ
"FORT DEFIANCE INDIAN HOSPITAL BOARD, INC","CORNER OF ROUTES N12 AND N7, PO BOX 649",FORT DEFIANCE,AZ
GREENBAUM SPECIALITY SURGICAL HOSPITAL,3535 NORTH SCOTTSDALE ROAD,SCOTTSDALE,AZ
HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ
HONORHEALTH,33400 NORTH 32ND AVENUE,PHOENIX,AZ
HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ
HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,AZ
HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ
HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ
HONORHEALTH SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ
KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ
MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ
MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ
"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ
MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,AZ
"NORTHWEST HOSPITAL, LLC",6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ
"NORTHWEST SAHUARITA HOSPITAL, LLC",16260 SOUTH RANCHO SAHUARITA BOULEVARD,SAHUARITA,AZ
O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ
"ORO VALLEY HOSPITAL, LLC",1551 EAST TANGERINE ROAD,ORO VALLEY,AZ
"ORTHOPEDIC AND SURGICAL SPECIALTY COMPANY, LLC","2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ
PHOENIX ER AND MEDICAL HOSPITAL,3050 SOUTH DOBSON ROAD,CHANDLER,AZ
